customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,CLV
7590-VHVEG,Female,0,True,False,1,False,False,DSL,False,True,False,False,False,False,Month-to-month,True,Electronic check,29.850000381469727,29.850000381469727,False,29.850000381469727
5575-GNVDE,Male,0,False,False,34,True,False,DSL,True,False,True,False,False,False,One year,False,Mailed check,56.95000076293945,1889.5,False,1936.3000259399414
3668-QPYBK,Male,0,False,False,2,True,False,DSL,True,True,False,False,False,False,Month-to-month,True,Mailed check,53.84999847412109,108.1500015258789,True,107.69999694824217
7795-CFOCW,Male,0,False,False,45,False,False,DSL,True,False,True,True,False,False,One year,False,Bank transfer (automatic),42.29999923706055,1840.75,False,1903.4999656677246
9237-HQITU,Female,0,False,False,2,True,False,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,70.69999694824219,151.64999389648438,True,141.39999389648438
9305-CDSKC,Female,0,False,False,8,True,True,Fiber optic,False,False,True,False,True,True,Month-to-month,True,Electronic check,99.6500015258789,820.5,True,797.2000122070312
1452-KIOVK,Male,0,False,True,22,True,True,Fiber optic,False,True,False,False,True,False,Month-to-month,True,Credit card (automatic),89.0999984741211,1949.4000244140625,False,1960.199966430664
6713-OKOMC,Female,0,False,False,10,False,False,DSL,True,False,False,False,False,False,Month-to-month,False,Mailed check,29.75,301.8999938964844,False,297.5
7892-POOKP,Female,0,True,False,28,True,True,Fiber optic,False,False,True,True,True,True,Month-to-month,True,Electronic check,104.8000030517578,3046.050048828125,True,2934.4000854492183
6388-TABGU,Male,0,False,True,62,True,False,DSL,True,True,False,False,False,False,One year,False,Bank transfer (automatic),56.150001525878906,3487.949951171875,False,3481.300094604492
9763-GRSKD,Male,0,True,True,13,True,False,DSL,True,False,False,False,False,False,Month-to-month,True,Mailed check,49.95000076293945,587.4500122070312,False,649.3500099182129
7469-LKBCI,Male,0,False,False,16,True,False,False,False,False,False,False,False,True,Two year,False,Credit card (automatic),18.950000762939453,326.79998779296875,False,303.20001220703125
8091-TTVAX,Male,0,True,False,58,True,True,Fiber optic,False,False,True,False,True,True,One year,False,Credit card (automatic),100.3499984741211,5681.10009765625,False,5820.299911499023
0280-XJGEX,Male,0,False,False,49,True,True,Fiber optic,False,True,True,False,True,True,Month-to-month,True,Bank transfer (automatic),103.6999969482422,5036.2998046875,True,5081.299850463868
5129-JLPIS,Male,0,False,False,25,True,False,Fiber optic,True,False,True,True,True,True,Month-to-month,True,Electronic check,105.5,2686.050048828125,False,2637.5
3655-SNQYZ,Female,0,True,True,69,True,True,Fiber optic,True,True,True,True,True,True,Two year,False,Credit card (automatic),113.25,7895.14990234375,False,7814.25
8191-XWSZG,Female,0,False,False,52,True,False,False,False,False,False,False,False,True,One year,False,Mailed check,20.64999961853028,1022.9500122070312,False,1073.7999801635747
9959-WOFKT,Male,0,False,True,71,True,True,Fiber optic,True,False,True,False,True,True,Two year,False,Bank transfer (automatic),106.6999969482422,7382.25,False,7575.699783325196
4190-MFLUW,Female,0,True,True,10,True,False,DSL,False,False,True,True,False,False,Month-to-month,False,Credit card (automatic),55.20000076293945,528.3499755859375,True,552.0000076293945
4183-MYFRB,Female,0,False,False,21,True,False,Fiber optic,False,True,True,False,False,True,Month-to-month,True,Electronic check,90.05000305175781,1862.9000244140625,False,1891.050064086914
8779-QRDMV,Male,1,False,False,1,False,False,DSL,False,False,True,False,False,True,Month-to-month,True,Electronic check,39.650001525878906,39.650001525878906,True,39.650001525878906
1680-VDCWW,Male,0,True,False,12,True,False,False,False,False,False,False,False,True,One year,False,Bank transfer (automatic),19.799999237060547,202.25,False,237.59999084472656
1066-JKSGK,Male,0,False,False,1,True,False,False,False,False,False,False,False,True,Month-to-month,False,Mailed check,20.14999961853028,20.14999961853028,True,20.14999961853028
3638-WEABW,Female,0,True,False,58,True,True,DSL,False,True,False,True,False,False,Two year,True,Credit card (automatic),59.900001525878906,3505.10009765625,False,3474.2000885009766
6322-HRPFA,Male,0,True,True,49,True,False,DSL,True,True,False,True,False,False,Month-to-month,False,Credit card (automatic),59.59999847412109,2970.300048828125,False,2920.399925231933
6865-JZNKO,Female,0,False,False,30,True,False,DSL,True,True,False,False,False,False,Month-to-month,True,Bank transfer (automatic),55.29999923706055,1530.5999755859375,False,1658.9999771118164
6467-CHFZW,Male,0,True,True,47,True,True,Fiber optic,False,True,False,False,True,True,Month-to-month,True,Electronic check,99.3499984741211,4749.14990234375,True,4669.449928283691
8665-UTDHZ,Male,0,True,True,1,False,False,DSL,False,True,False,False,False,False,Month-to-month,False,Electronic check,30.200000762939453,30.200000762939453,True,30.200000762939453
5248-YGIJN,Male,0,True,False,72,True,True,DSL,True,True,True,True,True,True,Two year,True,Credit card (automatic),90.25,6369.4501953125,False,6498.0
8773-HHUOZ,Female,0,False,True,17,True,False,DSL,False,False,False,False,True,True,Month-to-month,True,Mailed check,64.69999694824219,1093.0999755859375,True,1099.8999481201172
3841-NFECX,Female,1,True,False,71,True,True,Fiber optic,True,True,True,True,False,False,Two year,True,Credit card (automatic),96.3499984741211,6766.9501953125,False,6840.849891662598
4929-XIHVW,Male,1,True,False,2,True,False,Fiber optic,False,False,True,False,True,True,Month-to-month,True,Credit card (automatic),95.5,181.6499938964844,False,191.0
6827-IEAUQ,Female,0,True,True,27,True,False,DSL,True,True,True,True,False,False,One year,False,Mailed check,66.1500015258789,1874.449951171875,False,1786.0500411987305
7310-EGVHZ,Male,0,False,False,1,True,False,False,False,False,False,False,False,True,Month-to-month,False,Bank transfer (automatic),20.200000762939453,20.200000762939453,False,20.200000762939453
3413-BMNZE,Male,1,False,False,1,True,False,DSL,False,False,False,False,False,False,Month-to-month,False,Bank transfer (automatic),45.25,45.25,False,45.25
6234-RAAPL,Female,0,True,True,72,True,True,Fiber optic,True,True,False,True,True,False,Two year,False,Bank transfer (automatic),99.9000015258789,7251.7001953125,False,7192.800109863281
6047-YHPVI,Male,0,False,False,5,True,False,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,69.69999694824219,316.8999938964844,True,348.49998474121094
6572-ADKRS,Female,0,False,False,46,True,False,Fiber optic,False,False,True,False,False,False,Month-to-month,True,Credit card (automatic),74.80000305175781,3548.300048828125,False,3440.8001403808594
5380-WJKOV,Male,0,False,False,34,True,True,Fiber optic,False,True,True,False,True,True,Month-to-month,True,Electronic check,106.3499984741211,3549.25,True,3615.899948120117
8168-UQWWF,Female,0,False,False,11,True,True,Fiber optic,False,False,True,False,True,True,Month-to-month,True,Bank transfer (automatic),97.8499984741211,1105.4000244140625,True,1076.349983215332
8865-TNMNX,Male,0,True,True,10,True,False,DSL,False,True,False,False,False,False,One year,False,Mailed check,49.54999923706055,475.7000122070313,False,495.49999237060547
9489-DEDVP,Female,0,True,True,70,True,True,DSL,True,True,False,False,True,False,Two year,True,Credit card (automatic),69.19999694824219,4872.35009765625,False,4843.999786376953
9867-JCZSP,Female,0,True,True,17,True,False,False,False,False,False,False,False,True,One year,False,Mailed check,20.75,418.25,False,352.75
4671-VJLCL,Female,0,False,False,63,True,True,DSL,True,True,True,True,True,False,Two year,True,Credit card (automatic),79.8499984741211,4861.4501953125,False,5030.549903869629
4080-IIARD,Female,0,True,False,13,True,True,DSL,True,True,False,True,True,False,Month-to-month,True,Electronic check,76.19999694824219,981.4500122070312,False,990.5999603271484
3714-NTNFO,Female,0,False,False,49,True,True,Fiber optic,False,False,False,False,False,True,Month-to-month,True,Electronic check,84.5,3906.699951171875,False,4140.5
5948-UJZLF,Male,0,False,False,2,True,False,DSL,False,True,False,False,False,False,Month-to-month,False,Mailed check,49.25,97.0,False,98.5
7760-OYPDY,Female,0,False,False,2,True,False,Fiber optic,False,False,False,False,True,False,Month-to-month,True,Electronic check,80.6500015258789,144.14999389648438,True,161.3000030517578
7639-LIAYI,Male,0,False,False,52,True,True,DSL,True,False,False,True,True,True,Two year,True,Credit card (automatic),79.75,4217.7998046875,False,4147.0
2954-PIBKO,Female,0,True,True,69,True,True,DSL,True,False,True,True,False,False,Two year,True,Credit card (automatic),64.1500015258789,4254.10009765625,False,4426.3501052856445
8012-SOUDQ,Female,1,False,False,43,True,True,Fiber optic,False,True,False,False,True,False,Month-to-month,True,Electronic check,90.25,3838.75,False,3880.75
9420-LOJKX,Female,0,False,False,15,True,False,Fiber optic,True,True,False,False,True,True,Month-to-month,True,Credit card (automatic),99.0999984741211,1426.4000244140625,True,1486.4999771118164
6575-SUVOI,Female,1,True,False,25,True,True,DSL,True,False,False,True,True,False,Month-to-month,True,Credit card (automatic),69.5,1752.6500244140625,False,1737.5
7495-OOKFY,Female,1,True,False,8,True,True,Fiber optic,False,True,False,False,False,False,Month-to-month,True,Credit card (automatic),80.6500015258789,633.2999877929688,True,645.2000122070312
4667-QONEA,Female,1,True,True,60,True,False,DSL,True,True,True,True,False,True,One year,True,Credit card (automatic),74.8499984741211,4456.35009765625,False,4490.999908447266
1658-BYGOY,Male,1,False,False,18,True,True,Fiber optic,False,False,False,False,True,True,Month-to-month,True,Electronic check,95.4499969482422,1752.550048828125,True,1718.0999450683596
8769-KKTPH,Female,0,True,True,63,True,True,Fiber optic,True,False,False,False,True,True,One year,True,Credit card (automatic),99.6500015258789,6311.2001953125,False,6277.950096130371
5067-XJQFU,Male,1,True,True,66,True,True,Fiber optic,False,True,True,True,True,True,One year,True,Electronic check,108.4499969482422,7076.35009765625,False,7157.699798583985
3957-SQXML,Female,0,True,True,34,True,True,False,False,False,False,False,False,True,Two year,False,Credit card (automatic),24.950000762939453,894.2999877929688,False,848.3000259399414
5954-BDFSG,Female,0,False,False,72,True,True,Fiber optic,False,False,True,True,True,True,Two year,True,Credit card (automatic),107.5,7853.7001953125,False,7740.0
0434-CSFON,Female,0,True,False,47,True,True,Fiber optic,False,False,True,False,True,True,Month-to-month,True,Electronic check,100.5,4707.10009765625,False,4723.5
1215-FIGMP,Male,0,False,False,60,True,True,Fiber optic,False,True,False,False,True,False,Month-to-month,True,Bank transfer (automatic),89.9000015258789,5450.7001953125,False,5394.000091552734
0526-SXDJP,Male,0,True,False,72,False,False,DSL,True,True,True,False,False,False,Two year,False,Bank transfer (automatic),42.09999847412109,2962.0,False,3031.1998901367183
0557-ASKVU,Female,0,True,True,18,True,False,DSL,False,False,True,True,False,False,One year,True,Credit card (automatic),54.400001525878906,957.0999755859376,False,979.2000274658203
5698-BQJOH,Female,0,False,False,9,True,True,Fiber optic,False,False,False,False,True,True,Month-to-month,False,Electronic check,94.4000015258789,857.25,True,849.6000137329102
5122-CYFXA,Female,0,False,False,3,True,False,DSL,False,True,False,True,True,True,Month-to-month,True,Electronic check,75.30000305175781,244.1000061035156,False,225.90000915527344
8627-ZYGSZ,Male,0,True,False,47,True,True,Fiber optic,False,True,False,False,False,False,One year,True,Electronic check,78.9000015258789,3650.35009765625,False,3708.3000717163086
3410-YOQBQ,Female,0,False,False,31,True,False,DSL,False,True,True,True,True,True,Two year,False,Mailed check,79.19999694824219,2497.199951171875,False,2455.199905395508
3170-NMYVV,Female,0,True,True,50,True,False,False,False,False,False,False,False,True,Two year,False,Bank transfer (automatic),20.14999961853028,930.9000244140624,False,1007.499980926514
7410-OIEDU,Male,0,False,False,10,True,False,Fiber optic,True,False,True,False,False,False,Month-to-month,True,Mailed check,79.8499984741211,887.3499755859375,False,798.4999847412109
2273-QCKXA,Male,0,False,False,1,True,False,DSL,False,False,False,True,False,False,Month-to-month,False,Mailed check,49.04999923706055,49.04999923706055,False,49.04999923706055
0731-EBJQB,Female,0,True,True,52,True,False,False,False,False,False,False,False,True,One year,True,Electronic check,20.39999961853028,1090.6500244140625,False,1060.7999801635747
1891-QRQSA,Male,1,True,True,64,True,True,Fiber optic,True,False,True,True,True,True,Two year,True,Bank transfer (automatic),111.5999984741211,7099.0,False,7142.39990234375
8028-PNXHQ,Male,0,True,True,62,True,True,False,False,False,False,False,False,True,Two year,True,Bank transfer (automatic),24.25,1424.5999755859375,False,1503.5
5630-AHZIL,Female,0,False,True,3,True,False,DSL,True,False,False,True,False,True,Month-to-month,True,Bank transfer (automatic),64.5,177.39999389648438,False,193.5
2673-CXQEU,Female,1,False,False,56,True,True,Fiber optic,True,True,True,False,True,True,One year,False,Electronic check,110.5,6139.5,False,6188.0
6416-JNVRK,Female,0,False,False,46,True,False,DSL,False,False,False,False,False,True,One year,False,Credit card (automatic),55.650001525878906,2688.85009765625,False,2559.9000701904297
5590-ZSKRV,Female,0,True,True,8,True,False,DSL,True,True,False,False,False,False,Month-to-month,False,Mailed check,54.650001525878906,482.25,False,437.20001220703125
0191-ZHSKZ,Male,1,False,False,30,True,False,DSL,True,True,False,False,True,True,Month-to-month,True,Electronic check,74.75,2111.300048828125,False,2242.5
3887-PBQAO,Female,0,True,True,45,True,True,False,False,False,False,False,False,True,One year,True,Credit card (automatic),25.89999961853028,1216.5999755859375,False,1165.4999828338625
5919-TMRGD,Female,0,False,True,1,True,False,Fiber optic,False,False,False,False,True,False,Month-to-month,True,Electronic check,79.3499984741211,79.3499984741211,True,79.3499984741211
8108-UXRQN,Female,0,True,True,11,False,False,DSL,True,False,False,False,True,True,Month-to-month,False,Electronic check,50.54999923706055,565.3499755859375,False,556.049991607666
